Iteration	CPUTime	PhysTime	Travels
1	2	0	0.025
2	2	0	0.05
3	2	0	0.075
4	2	0	0.1
5	3	0	0.125
6	3	0	0.15
7	3	0	0.175
8	3	0	0.2
9	4	0	0.225
10	4	0	0.25
11	4	0	0.275
12	4	0	0.3
13	4	0	0.325
14	5	0	0.35
15	5	0	0.375
16	5	0	0.4
17	5	0	0.425
18	6	0	0.45
19	6	0	0.475
20	6	0	0.5
21	6	0	0.525
22	7	0	0.55
23	7	0	0.575
24	7	0	0.6
25	7	0	0.625
26	8	0	0.65
27	8	0	0.675
28	8	0	0.7
29	8	0	0.725
30	8	0	0.75
31	10	0	0.775
32	10	0	0.8
33	10	0	0.825
34	11	0	0.85
35	11	0	0.875
36	11	0	0.9
37	11	0	0.925
38	11	0	0.95
39	12	0	0.975
40	12	0	1
41	12	0	1.025
42	12	0	1.05
43	13	0	1.075
44	13	0	1.1
45	13	0	1.125
46	14	0	1.15
47	14	0	1.175
48	14	0	1.2
49	14	0	1.225
50	14	0	1.25
51	15	0	1.275
52	15	0	1.3
53	15	0	1.325
54	15	0	1.35
55	16	0	1.375
56	16	0	1.4
57	16	0	1.425
58	16	0	1.45
59	16	0	1.475
60	17	0	1.5
61	17	0	1.525
62	17	0	1.55
63	17	0	1.575
64	18	0	1.6
65	18	0	1.625
66	18	0	1.65
67	18	0	1.675
68	19	0	1.7
69	19	0	1.725
70	19	0	1.75
71	19	0	1.775
72	20	0	1.8
73	20	0	1.825
74	20	0	1.85
75	20	0	1.875
76	21	0	1.9
77	21	0	1.925
78	21	0	1.95
79	21	0	1.975
80	22	0	2
81	22	0	2.025
82	22	0	2.05
83	22	0	2.075
84	23	0	2.1
85	23	0	2.125
86	23	0	2.15
87	23	0	2.175
88	24	0	2.2
89	24	0	2.225
90	24	0	2.25
91	24	0	2.275
92	25	0	2.3
93	25	0	2.325
94	25	0	2.35
95	26	0	2.375
96	26	0	2.4
97	26	0	2.425
98	27	0	2.45
99	27	0	2.475
100	27	0	2.5
101	27	0	2.525
102	28	0	2.55
103	28	0	2.575
104	28	0	2.6
105	29	0	2.625
106	29	0	2.65
107	29	0	2.675
108	29	0	2.7
109	30	0	2.725
110	30	0	2.75
111	30	0	2.775
112	30	0	2.8
113	31	0	2.825
114	31	0	2.85
115	31	0	2.875
116	31	0	2.9
117	32	0	2.925
118	32	0	2.95
119	32	0	2.975
120	32	0	3
121	33	0	3.025
122	33	0	3.05
123	33	0	3.075
124	34	0	3.1
125	34	0	3.125
126	34	0	3.15
127	34	0	3.175
128	35	0	3.2
129	35	0	3.225
130	35	0	3.25
131	36	0	3.275
132	36	0	3.3
133	36	0	3.325
134	36	0	3.35
135	37	0	3.375
136	37	0	3.4
137	37	0	3.425
138	37	0	3.45
139	38	0	3.475
140	38	0	3.5
141	38	0	3.525
142	39	0	3.55
143	39	0	3.575
144	39	0	3.6
145	39	0	3.625
146	40	0	3.65
