Iteration	CPUTime	PhysTime	Travels
1	1	0	0.025
2	1	0	0.05
3	1	0	0.075
4	1	0	0.1
5	2	0	0.125
6	2	0	0.15
7	2	0	0.175
8	2	0	0.2
9	2	0	0.225
10	3	0	0.25
11	3	0	0.275
12	3	0	0.3
13	3	0	0.325
14	3	0	0.35
15	4	0	0.375
16	4	0	0.4
17	4	0	0.425
18	4	0	0.45
19	5	0	0.475
20	5	0	0.5
21	5	0	0.525
22	5	0	0.55
23	5	0	0.575
24	6	0	0.6
25	6	0	0.625
26	6	0	0.65
27	7	0	0.675
28	7	0	0.7
29	7	0	0.725
30	7	0	0.75
31	7	0	0.775
32	8	0	0.8
33	8	0	0.825
34	8	0	0.85
35	9	0	0.875
36	9	0	0.9
37	9	0	0.925
38	9	0	0.95
39	9	0	0.975
40	10	0	1
41	10	0	1.025
42	10	0	1.05
43	10	0	1.075
44	11	0	1.1
45	11	0	1.125
46	11	0	1.15
47	12	0	1.175
48	12	0	1.2
49	12	0	1.225
50	13	0	1.25
51	13	0	1.275
52	13	0	1.3
53	13	0	1.325
54	14	0	1.35
55	14	0	1.375
56	14	0	1.4
57	15	0	1.425
58	15	0	1.45
59	15	0	1.475
60	16	0	1.5
61	16	0	1.525
62	16	0	1.55
63	16	0	1.575
64	17	0	1.6
65	17	0	1.625
66	17	0	1.65
67	18	0	1.675
68	18	0	1.7
69	18	0	1.725
70	18	0	1.75
71	19	0	1.775
72	19	0	1.8
73	19	0	1.825
74	20	0	1.85
75	20	0	1.875
76	20	0	1.9
77	20	0	1.925
78	21	0	1.95
79	21	0	1.975
80	21	0	2
81	21	0	2.025
82	22	0	2.05
83	22	0	2.075
84	22	0	2.1
85	23	0	2.125
86	23	0	2.15
87	23	0	2.175
88	24	0	2.2
89	24	0	2.225
90	24	0	2.25
91	25	0	2.275
92	25	0	2.3
93	25	0	2.325
94	26	0	2.35
95	26	0	2.375
96	26	0	2.4
97	27	0	2.425
98	27	0	2.45
99	28	0	2.475
100	28	0	2.5
101	29	0	2.525
102	29	0	2.55
103	29	0	2.575
104	30	0	2.6
105	30	0	2.625
106	30	0	2.65
107	30	0	2.675
108	31	0	2.7
109	31	0	2.725
110	32	0	2.75
111	32	0	2.775
112	32	0	2.8
113	33	0	2.825
114	33	0	2.85
115	33	0	2.875
116	34	0	2.9
117	34	0	2.925
118	35	0	2.95
119	35	0	2.975
120	35	0	3
121	36	0	3.025
122	36	0	3.05
123	37	0	3.075
124	37	0	3.1
125	37	0	3.125
126	38	0	3.15
127	38	0	3.175
128	38	0	3.2
129	39	0	3.225
130	39	0	3.25
131	39	0	3.275
132	40	0	3.3
133	40	0	3.325
134	40	0	3.35
135	41	0	3.375
136	41	0	3.4
137	41	0	3.425
138	42	0	3.45
139	42	0	3.475
140	43	0	3.5
141	43	0	3.525
142	43	0	3.55
143	44	0	3.575
144	44	0	3.6
145	44	0	3.625
146	45	0	3.65
147	45	0	3.675
148	45	0	3.7
149	46	0	3.725
150	46	0	3.75
151	46	0	3.775
152	47	0	3.8
153	47	0	3.825
154	47	0	3.85
155	48	0	3.875
156	48	0	3.9
157	48	0	3.925
158	48	0	3.95
159	49	0	3.975
160	49	0	4
